brand,tweet_id,customer_text,brand_reply,heuristic,hand_label,label_rationale,confidence
Uber_Support,2480193,@115873 charging me $15 for cancelling after I waited 20+ mins after your driver missed the exit and got caught in traffic. Cool.,@708760 Hi there! Please send us a note at https://t.co/QsI1vsvcif and we'll be happy to look into this for you.,deflection,deflection,Link-only channel switch,high
Ask_Spectrum,2058693,@115955 And this https://t.co/mLlVQK7mgk,@261792 Hello. I apologize for the service issue and I would like to check on this for you. Please send the phone number ... https://t.co/eEvrnW9kjc,substantive,deflection,"Send phone number via link, no inline step",high
TMobileHelp,2264657,@115911 @TMobileHelp @115913 are u guys planning to fix these speeds in my area or should I get something else? https://t.co/8y7pKs2LR4,@659222 @115913 Coverage is a necessity. Click https://t.co/Mww69Rzn7a to send me a message so I can review and assist. *AshleyNelson,unclear,deflection,"Click link to send message, no inline step",high
AmazonHelp,1940266,@120465 権利等のもんだいもあるかと思いますが、ポケモンSMの最新話が急に視聴不可になったのは何故でしょう。こちらはお金を払い会員になっているのですから、視聴不可になった理由や経緯など説明する義務があると思います。,@577096 恐れ入りますが、下記ヘルプにも記載しておりますが、プライム・ビデオ対象となるセレクションは、常に変更されています。新しいタイトルが追加される一方で、削除されるタイトルもあります。予めご了承ください。https://t.co/xtIrN3nlOk TY,deflection,substantive,Explains catalog rotation reason inline,medium
Uber_Support,513005,@Uber_Support How does the money help maintain the reliability and speed of service? A message saying it's going to take longer due to busy times would suffice. I don't see a reason to charge people an extra fee for ordering during a busy time..,@238025 We appreciate you bringing any and all feedback to our attention. We'll be sure to pass this on to the appropriate team.,unclear,deflection,"Non-responsive, feedback forwarded only",high
AppleSupport,1659142,"@116333 I am using 5S,but suddenly realize that it can get unlock without  passcode &amp; scan , where is the security feature??","@506202 We want to help. DM us, and let us know the details. We'll look into this. https://t.co/GDrqU22YpT",deflection,deflection,"DM ask, no step",high
AmazonHelp,2424662,"@AmazonHelp hey, I just signed up for Music Unlimited a few days ago and am in the 30 day trial, can I take part in the 3mo for $1 deal?","@696283 I'm sorry for the inconvenience. The promotion won't be applicable in this circumstance. For more information, you may see Terms &amp; Conditions on this page: https://t.co/yE04oYpYJc ^SJ",unclear,substantive,Direct factual answer (promotion not applicable),high
AppleSupport,235828,@115858 @AppleSupport any reason why the fingerprint isn't working to unlock my phone?,"@172173 Let's work on this together. Do you have multiple fingerprints enrolled? If so, does this happen with every fingerprint?",unclear,deflection,Diagnostic question about fingerprints,high
TMobileHelp,38348,"@TMobileHelp switcher over last month, tried to set up voicemail acct, said its not a valid account/number. Can you help??",@124342 I'd love to get this fixed for you. Follow this link. https://t.co/PTcXoerhEH *FeliciaPorter,unclear,deflection,"Link-only fix, no inline step",medium
AmazonHelp,1320039,アマゾンで本を注文したんだけど今日の梱包エアーだけかな？？？と思ったら中で本同士がズレて帯が破けちゃってたよーーー！,@428226 (1/2)梱包の問題によりお届けした商品に損傷があったとのことで、大変ご不便をおかけしております。恐れ入りますが、当サイトでは書籍の帯につきましては、商品の一部ではなく基本的に広告の一部と考えているため、問題があっても交換などの対応は承っておりません。RI,deflection,substantive,Explains policy on book obi bands inline,high
SpotifyCares,2312357,@115888 @SpotifyCares pls help i do not want to buy anymore cds,@670592 Hey there! Check out https://t.co/zgnxs5kPEu if your mom hasn't had a subscription before 😉 /AP,substantive,substantive,Suggests concrete action (subscription) to resolve issue,medium
Uber_Support,1295178,@Uber_Support I need to get receipts with total amount (ride + tip).  How do I get that in the app and/or website?  I expense my rides.,@315107 Thanks for reaching out! You can find more information about receipt options here: https://t.co/RaBdWoRC7E.,substantive,deflection,"Link-only, no inline content",medium
AppleSupport,2747377,"@AppleSupport Not right now, but maybe when my sister gets home from shopping. The problem is is that we've tried just about everything. I have all things saved on iCloud, but the big issue is that my phone might not get repaired totally and we'd have to pay for a whole new device.","@769302 Understandable, and we'll do all we can to get this fixed to avoid that. Let's work through the steps in the following article for now, and if needed, you can continue with the iTunes steps when a computer is available: https://t.co/ywHIZGN4Ac",substantive,deflection,"Link-only article steps, no inline content",medium
SpotifyCares,1278258,"@SpotifyCares Thank you so much for replying, I'll look forward to it!","@419141 No worries! We're glad we could help out. If you ever need anything else, just shout and we'll come running 🏃 /DF",unclear,unclear,"Closing acknowledgement, already resolved",high
Ask_Spectrum,1476597,@Ask_Spectrum Has this been resolved?!,@462825 My apologies for any frustration Debbie. Is there anything I may be able to help with? ^AP .,unclear,deflection,"Generic offer to help, no concrete action",high
Uber_Support,2407153,@148768 Krispy Kreme (wandsworth) just disappeared off my UberEATS app will it be back on at 2pm??,"@500501 We've been overwhelmed by demand! Please try uninstalling and reinstalling the app. Supply is limited, but please keep trying.",substantive,substantive,Names concrete step: reinstall app,high
SpotifyCares,1780803,@117153 Hey my card isnt working for spotify! i've tried all the troubleshooting but nothing is working. Please help!,"@535041 Hey Nathan, help's here! Could you DM us your account's email address and username? We'll check backstage for you /BX https://t.co/ldFdZRiNAt",substantive,deflection,DM account email/username requested,high
Ask_Spectrum,2951495,@Ask_Spectrum Is the network down for 27713?,@815008 Good evening! I would really like to help with your services. When you can plz DM your phone number and address to chat? ^DT,substantive,deflection,DM phone/address to chat,high
Ask_Spectrum,1832273,"@Ask_Spectrum I will, but Spectrum still uses an address that doesn't match the actual address of my building.",@373568 Thank you for the reply! I will be on the look out for your DM. ^DT,deflection,deflection,"Non-action, watching for DM",high
Ask_Spectrum,871946,@Ask_Spectrum what’s up with my WiFi service it’s sucks and it isn’t cheap.. so?,"@327009 I can look into this for you Juanito, can you please DM your account or primary phone number? ^JH",deflection,deflection,DM account or phone number requested,high
SpotifyCares,2917922,@115888 problems with streaming at the moment?,@807660 Hey Claus! Thanks for letting us know. Everything’s looking good on our end now - are you still having this issue? /FR,unclear,deflection,Diagnostic status-check question,high
AppleSupport,2110908,"@AppleSupport Last time I successfully sent a message of any type was yesterday morning &amp; it looks like it tried to send, I still haven’t gotten any Failed to Send alerts yet",@282519  Have you been receiving messages as expected? What are you seeing that indicates that the messages are not sending? Have you tried sending messages to more than one contact?,unclear,deflection,Diagnostic questions only,high
AmazonHelp,1416834,@AmazonHelp and the person completing my order didn’t respond to my text because order was complete,@449289 I'm sorry for the trouble you've experienced! You can reach our Prime Now team by phone here: https://t.co/rxVeBmQUva ^BN,substantive,deflection,Channel switch to phone,high
Uber_Support,2412896,@148768 @115877 We've been trying to get the krispy kreme offer since 2pm but it's just been cancelled (after being accepted). I'm 0.4miles from the Holborn store. Do you know what's going on please?,"@693658 Thanks for reaching out, Hattie, demand is exceptionally high with all our users so excited for this promotional offer, and stock is low. You can try another location, and stay tuned for more fun promotions soon!",substantive,substantive,"Explains demand cause, suggests concrete alternative",medium
AmazonHelp,1350031,@115830 So I received my package (Delivered by @116324) and found it to be damaged. This is a Christmas present for my Father who had a mental breakdown 3 years ago. I know this seems petty but this was expensive and could have been something fragile 😩 https://t.co/OzT04PlunR,"@314209 Oh no! I'm sorry to hear that your parcel was damaged. If you'd like to submit packaging feedback, you can do so here:  https://t.co/fxgZ6hTrFA ^SW",substantive,deflection,"Feedback form link, no resolution",high
AmazonHelp,2141299,@115817 @115821 I’m glad this wasn’t fragile 😒,"@150963 Are you experiencing an issue with an order you received? If your order arrived damaged, please let us know! ^JS",unclear,deflection,Diagnostic question,high
Ask_Spectrum,471401,@Ask_Spectrum why pay for internet when you can have no internet? :D since spectrum has so many frinkin outages. Pretty much paying for having internet and phone maybe 85% of the time it seems,"@227244 I am sorry you are having issues with your internet. You can find helpful troubleshooting tips here https://t.co/GBStzXaYzA . If your need further assistance please feel free to send your phone number, account number and service address to me directly in a private message. ^AS",substantive,deflection,"Link-only tips, PM fallback, no inline content",medium
AppleSupport,489582,@AppleSupport please try to fix the heating issue and battery drain issue in ios 11 with an update for 7 plus.,"@231602 Let’s look into this together. To be sure we’re on the same page, is your iPhone currently running iOS version 11.1.2? DM your response: https://t.co/GDrqU22YpT",deflection,deflection,Diagnostic question + DM,high
Uber_Support,348414,@Uber_Support Hope so,"@191686 A member of our team has been in touch via in-app support regarding this issue. Please check the ""Help"" section of the app and reply there.",substantive,deflection,"Refers to in-app Help section, no inline step",high
Uber_Support,2689617,.@115873 why don’t I just give you my online banking login so you can take all my money without the middleman,@756172 Hi! Can you please send us more details regarding your concern? So we can help.,unclear,deflection,Non-responsive diagnostic ask,high
TMobileHelp,279848,"@TMobileHelp @115913 last question -- is this only for iPhone X, or will same offer apply if you're getting an iPhone 8/iPhone 8 Plus?",@182712 @115913 This sweet offer is available when purchasing a new iPhone 7 or newer! *DanKing,unclear,substantive,Direct factual answer: eligible phones for offer,high
TMobileHelp,2642892,If my phone is off tomorrow because the automated system is dumb as hell im going to go offfffffff @115911  😤,"@418870 Let's double check to make sure everything is properly set, Geminy. Send us a DM! *RickK",substantive,deflection,"Send DM, no step",high
Ask_Spectrum,1421378,@115955 if you drop all of your channels I’m finna gon drop you,@450389 We ask for your patience as we work to resolve this issue on your behalf  https://t.co/yHH0s6UY8h ^PS,unclear,deflection,"Generic patience request, no action",high
SpotifyCares,1033889,@131098 ik hebb jullie app opnieuw gedownload maar kan niet inloggen?! Ik kan op aanmelden of inloggen drukken maar er gebeurd niets?,"@364597 Hey! We can help out in English via Twitter, but we also have Dutch support via email at https://t.co/ZgU70TbP8M /NQ",unclear,deflection,Redirects to Dutch email support channel,high
Ask_Spectrum,1237378,@115955 why is my cable getting reception? Missing parts of the game is not tha bizness! #DodgersVsAstros,@410253 I apologize for the inconvenience. I will be glad to assist you. Can you DM me your Name and acct # or phone #? -JB,deflection,deflection,DM name/account/phone requested,high
Uber_Support,912925,"@Uber_Support Do you forsee Oregon becoming an approved state for Uber.  Was driving for you in Montana, but now live in OR.","@336798 We're expanding quickly, so stay tuned for any changes, David. You can keep up to date with our cities on https://t.co/8wgaNEC17b",substantive,deflection,"Vague expansion status, link-only detail",medium
SpotifyCares,1162348,@SpotifyCares i was just wondering when the new taylor swift album is going to be on the german spotify,"@393487 Got it. 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: https://t.co/3h0TnPWP0c /TR",substantive,substantive,"Direct answer: album not available, alternative given",high
Uber_Support,1802661,@Uber_Support Please resolve it or else will never book cab from Uber.,"@541655 Hey, Rajnikant. Our Privacy Policy restricts us from speaking to anyone but your brother. Please have him reach out at the link provided.",unclear,deflection,"Policy explanation, but resolution deferred to another party via link",medium
AmazonHelp,2836865,"J'avais jamais eu affaire à Amazon Logistics jusqu'à maintenant mais ces gens ont pris tous les défauts des autres et les ont accentués ! 
Le mec ne veut pas laisser le colis à un relais colis, ça repart au dépôt pour le même cirque demain &gt;&lt;
#BalanceTonLivreur","@694523 Bonjour, je suis sincèrement désolée d'apprendre cela. Amazon logistics ne propose pas les livraisons en point relais. Vous pouvez, par contre, demander à ce que le colis soit livré à votre gardien, à un voisin ou à une adresse commerciale. ^FA",unclear,substantive,Gives concrete delivery alternatives inline,high
Uber_Support,127698,@Uber_Support Just received 35 more messages. Can you please resolve this.,"@144696 Hi, Ishu. A member of our team has followed up with your in-app support inquiry. Our responses can be found both in-app via the Help tab and within the email address associated with your account. We appreciate your continued patience and understanding.",unclear,deflection,"Refers to in-app/email channel, no inline step",high
TMobileHelp,1883558,@115913 death in the family... guess which was easier??? It wasnt @115911 and @115817 to say the least,@177240 @115913 Hello! We're here to help and we'd love to get ot the bottom of this. DM us doe we can get more details. https://t.co/3sF8qpf2nx *AlissaFast,deflection,deflection,"DM us, no step",high
Ask_Spectrum,2000840,@Ask_Spectrum why can't we get an update in 5 days on the outage @60017 did a better job of keeping Maine informed,"@591639 I certainly apologize for any inconvenience Kathy. Has anyone been able to look into this matter for you, or did ... https://t.co/OvKWpXa0Xu",unclear,deflection,"Generic apology, truncated, no concrete info",high
Uber_Support,1647845,"@Uber_Support That’s not the issue. I still want to receive emails but for Los Angeles now, not Chicago!",@128769 Please check your DMs for our more thorough response!,substantive,deflection,"Refers to DM, no inline step",high
TMobileHelp,855939,Alright @TMobileHelp how are the T-Mobile cell towers and service in Talladega Alabama,@323266 Hi Walter! Check out our coverage map here: https://t.co/LtcsTX8SkS to see how we're holding up in Talladega. *BrittanyJones,substantive,deflection,"Link-only coverage map, no inline info",medium
Ask_Spectrum,975118,FML @Ask_Spectrum @115955 This doesn’t look like the 300Mbs I’m paying for… https://t.co/6XaHbaSTck,@351250 Sorry you are having a problem with the connection. I can check the modem and local node if you could DM your address or acct# ^PS,substantive,deflection,DM address/account requested to check modem,high
AppleSupport,1984372,@AppleSupport hi why is my keyboard doing weird stuff plz help https://t.co/RBvyizjTVz,@587381 We'd love to look into this with you. DM us the iOS version you are currently running. Find this in Settings &gt; General &gt; About. https://t.co/GDrqU22YpT,substantive,deflection,DM ask for iOS version,high
AppleSupport,1693339,@AppleSupport yall need to fix this update bc my music randomly pauses and it skips my music.Please fix this🤬,@513888 Let us help with your music.  Send us a DM so we can take a closer look. https://t.co/GDrqU22YpT,deflection,deflection,"DM ask, no step",high
TMobileHelp,1940520,"@115913 T-Mobile cancels my iPhone X pre-order and now your reps can't figure it out, come on, get me someone who can","@577153 @115913 We want all of your experiences to be top notch, Led. We have send you a DM and are dedicated to getting this resolved. *ShelbyMartin",deflection,deflection,"Sent DM, no step",high
TMobileHelp,1427068,@TMobileHelp I gt tht u dnt want my account info out there but I'm not going to 2 chat abt it again. Demographics.. whn ws last time y'all looked at Bastrop county demographics???,"@346294 I assure you my offer to help is genuine, and we're here 24/7 when you're ready! https://t.co/zXrDYDCnIa *Bridget Wren",unclear,deflection,"Vague reassurance, no action",high
AppleSupport,228493,Yes @115858 y’all need a new update I can’t see my notifications thanks,"@170469 We'd like to help get those notifications showing as expected for you. To start, which device are you experiencing this on, and which software version is it running?",unclear,deflection,"Diagnostic question: device, software version",high
Ask_Spectrum,834164,@Ask_Spectrum any issues in the Pelham or BIRMINGHAM Alabama area? Internet seems to be excruciatingly slow. Weather issues?,@318650 Hi Jill! I would really like to help with your Internet services. When you can plz DM your phone number and address to chat? ^DT,substantive,deflection,DM phone/address to chat,high
Ask_Spectrum,1418829,@Ask_Spectrum 10312 Old Eagle River Lane. McKinney TX 75070. Being on hold for over 30 min,@449782 Thank you for the information. Let me take a look into the account to see if there is anything being reported. ^TV,unclear,deflection,"Vague look-into-it, no concrete step",high
TMobileHelp,278743,@TMobileHelp Help! One of my lines is missing from my account! Where did it go?,@182471 Missing lines are not cool! Let me check this out. Send me a DM! https://t.co/HbdADi3eov *HumeiraPatel,substantive,deflection,"Send DM, no step",high
Uber_Support,341064,@115873 I sent a note via the app. Your link still doesn't solve the problem. I'll be waiting for Uber to get in touch.,@197251 Here to help! Please send us a DM with your email so we can connect.,deflection,deflection,DM email requested,high
Ask_Spectrum,2010737,Spectrum internet sucks.,"@407348 My apologies for the internet issues you are seeing there. If you can DM me and provide me with the full address,... https://t.co/M19VutOQy8",substantive,deflection,DM full address requested,high
TMobileHelp,2527258,"honestly fuck @115911 and their bad customer service, i just had a CSR scream at me and my dad on the line. “recorded line” my fucking ass fuck them. i’m moving to @115714",@719597 That is certainly not acceptable behavior and we'd like to find out more on what happened and also make sure we get whatever you called in for taken care of. Please send us a DM. *JPL,substantive,deflection,"Send DM, no step",high
SpotifyCares,116650,@SpotifyCares I want to make my spotify account into a artist account but on the third step it said to find the artist you want access to and im not on there. Can you help me plz @SpotifyCares,"@141984 Hey! You can contact our Artist team here: https://t.co/p1wbtdELHu. If you've reached out, DM us your email address &amp; we'll chase it up /TF",substantive,deflection,Channel switch to Artist team link / DM,high
Uber_Support,777616,"@Uber_Support Hello, my account has been suddenly disabled. Can you guys be of some assistance as to why this has happened?",@305642 We've followed up via DM so please check your inbox.,substantive,deflection,"Refers to DM, no inline step",high
TMobileHelp,1739903,@115913 @115911 Thanks! I hope you do a #BOGO on the #LGV30 and a very cool deal on the #iphonex I'm getting 5 from you guys! You rock,"@157374 @115913 We've got a sweet deal going on for the V30 right now. Check it out, here: https://t.co/S2NuS6nXaS *DanKing",substantive,deflection,"Link-only deal, no inline info",medium
AppleSupport,1622556,WOW @115858 my phone didn’t start doing this shit until I️ updated it 🤬,@359240 We're here for you. Pleae provide us details about what's going on with your phone in DM. https://t.co/GDrqU22YpT,deflection,deflection,"DM ask, no step",high
Ask_Spectrum,1992980,So CMP can restore my power in 4 days but @115955 is going to take 9?!? Thinking I might need to call @61809 #helpagirlout,@589815 Good Morning Candice. Sorry to hear that you are still experiencing connection issues. Can you please follow/DM y... https://t.co/PwSbaNfK1H,deflection,deflection,"Follow/DM requested, truncated",high
AppleSupport,2035057,"@applesupport This latest upgrade has wreaked havoc on my phone. It won't even turn on now, even after charging it all night 😩",@496077 We want to help get your iPhone powered back up. Try the steps here and let us know the result in DM https://t.co/8MvHMFZ83h https://t.co/GDrqU22YpT,substantive,deflection,"Link-only steps, plus DM",medium
SpotifyCares,2792195,@115888 As soon as i decide to start paying you money your website is fucked.,@779265 Hey! We're here to help. Are you getting any specific errors? Can you DM us your account's username or email address? We'll check things backstage /CP https://t.co/ldFdZRiNAt,substantive,deflection,Diagnostic question + DM requested,high
AmazonHelp,865988,"@AmazonHelp Guys, how do I set my fire TV stick to Indian region? I am not able to see Indian content.",@325643 Please contact us here: https://t.co/rS49hgaADF so that we can assist you accordingly with Fire TV stick. ^SM,deflection,deflection,Link only,high
Uber_Support,1224637,@Uber_Support Already contacted them 5 times and they have been reverting with pre-formatted reply message.,@407299 Here to follow up! Can you please send us a DM with your email address so we can connect?,deflection,deflection,DM email address requested,high
AmazonHelp,1311244,@AmazonHelp まさかのリプライでのご説明、ありがとうございます。,@426410 恐れ入ります、どうぞよろしくお願いいたします☺️　リプライありがとうございました！　SM,deflection,unclear,"Closing acknowledgement, no action",high
AppleSupport,2621232,@AppleSupport You guys dont have any Indian Customer Care number?,"@740642 Thanks for reaching out, we're happy to speak to you in regard to this question. You may find the direct contact number here: https://t.co/1OxnSOXiWG Alternatively, we'd be happy to look into any issues you're having over Twitter.",unclear,deflection,"Number behind link, not stated inline",medium
TMobileHelp,1764770,@TMobileHelp trying to claim tuesday rewards but having trouble accessing the panda express website. any help?,"@530840 I've got your back, fam! Send me a DM &amp; I'll make sure we get this straightened out ASAP :) *AlexKimbrell https://t.co/GefRnVHVqu",substantive,deflection,"Send DM, no step",high
AmazonHelp,996737,"@116618 @127972 guys, I'm not able to add Amazon prime in my roku device. Using it in India. Please help!!!",@356024 I understand your concern regarding availability of Prime Video on Roku. You can watch Prime Video on 2015 and 1/n ^HD,substantive,substantive,"Starts explaining device compatibility, truncated",low
Ask_Spectrum,2602681,@Ask_Spectrum Internet out again?,"@736563 Good morning. I'm sorry for the delayed response to your post. If you are still having an issue at this time, ple... https://t.co/EsENvF6yOj",unclear,deflection,"Generic apology, truncated, no concrete info",high
SpotifyCares,2027951,"@115888 
I have an account and I need to change my billing information for it , cannot get it to work online. need help????","@599694 Hey Vanessa, help's here! Can you DM us your account's username and email address? We'll check it out 🔍 /TY https://t.co/ldFdZRiNAt",substantive,deflection,DM account username/email requested,high
TMobileHelp,1829285,"@TMobileHelp @115913 @117543 Is that the ""view with or without LTE-6 Option on the map""?",@346367 @115913 @117543 When zoomed in on a city with it deployed and enabling that toggle you will see the additional coverage. *DanKing,substantive,substantive,Direct factual explanation of map toggle behavior,high
TMobileHelp,1824860,"@115911 my credit and jeopardizing so much of mine/my family's security. Don't even have time for this.
#DoBetter #Pissed #Thieves (6/6)",@547808 Hi Irfan. We take our customer's security very seriously &amp; want to look at this immediately. Pleas send us a DM so we can get started *ErikS,deflection,deflection,"Send DM, no step",high
SpotifyCares,1272282,"@117153 Hi I've paid 3 months premium but still free account cab you check on this. Thanks. Here's the ref number LKRVEV91, I've paid again but still free here's the 2nd reference number MUL7GG36",@417819 Hey Jefferson! We've sent a reply to your DM. Let's carry on chatting there /LP,deflection,deflection,"Replied to DM, continue there",high
AmazonHelp,2319311,"Hi @115830 I've phoned customer services RE: Missing package, contents of which were needed for today. Was assured the package would be replaced, but no email confirmation of when. Any ideas?? Don't want it left on my doorstep to be stolen again. 😔",@672262 Can I ask for you to check your spam/junk folder please as the confirmation email may be located there. You can also locate messages through your account here: https://t.co/82wtJp4VvX. ^GA,substantive,substantive,Actionable step: check spam/junk folder,high
TMobileHelp,1477098,@TMobileHelp @115913 Sent,@362815 @115913 I've got your DM and will reply to you shortly. *ZachRicketts,deflection,deflection,"Channel confirmation, no step",high
AmazonHelp,2790565,"@AmazonHelp It would have been a mistake of the order just said delivered. How can it say that it has been received and signed by me, I am not even in India for past 2 months.. your courier guys need to be caught..",@778850 Kindly fill in your details here: https://t.co/GIJyeYqKE0 and I'll look into it. ^NR,deflection,deflection,"Link only, no inline step",high
TMobileHelp,2864448,@TMobileHelp how can I report a dead zone? The past 2 months j haven't been able to connect while at work. Happens to anyone using t-mobile or an mvno like MetroPCS.,@795634 Hey there! We never like to hear about dead spots! I would love to get some more info from you about this! Check my profile and shoot us a quick DM! https://t.co/qS8zTIAkPZ *ChrisTarbox,substantive,deflection,"Check profile and DM, no step",high
Ask_Spectrum,24045,It's game day and this is what I'm paying @115955 for?? https://t.co/fT8y4I4Vor,"@121175 Hello, Annie. I'm sorry you are having issues with your cable. Please send me a DM with your account name and phone or account number and I will be happy to assist you. -STS",deflection,deflection,DM account name/phone/account number requested,high
SpotifyCares,2627888,@SpotifyCares ok thank u!!!,@742214 You're welcome! Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv 🙂 /AU,unclear,unclear,"Closing acknowledgement, no action",high
TMobileHelp,1313157,@115913 midnight or 12:01?,"@426807 @115913 Great question, Tony. iPhone X preorders starts at 12:01 AM PT. Thanks for being apart of our Magenta Family. *ShelbyMartin",unclear,substantive,Direct factual answer: preorder start time,high
AmazonHelp,1222988,@AmazonHelp I didn't get one it said (Delivery date pending. We'll email you as soon as we have a delivery date.) But I assumed it would be around today,@406981 You can reach us via chat/phone &amp; we'll take a look together in real-time to see if we can help: https://t.co/JzP7hlA23B ^KN,substantive,deflection,Channel switch to chat/phone,high
TMobileHelp,1316837,After I paid my iPhone full #TMobile refuses to unlock my #iphone ! Total scam @115911 @TMobileHelp #WeWontStop https://t.co/7Zc9pC0uYJ,"@421634 Hey Mohammed, I've hit you up with a DM! Meet me there my friend. #IveGotYou https://t.co/JndQXzqo6y *UsmanArif",deflection,deflection,"DM sent, no step",high
Uber_Support,1326401,"@115877 had an order that was incomplete but was fully charged, now the app says I'm not registered so can't resolve it to get a refund 😡","@429477 Here to help! Follow up here; https://t.co/ZFaWy0Lkdu, and our team will connect right away.",unclear,deflection,Link-only channel switch,high
Ask_Spectrum,671122,@Ask_Spectrum no internet in red wing mn anyone else having issues?,"@280102 My apologies for the interruption in your service. If you can DM me and provide me with the full address, phone number and/or account number I would be glad to look into that for you. ^TV",substantive,deflection,DM full address/phone/account requested,high
Ask_Spectrum,1243090,"Why, when my bill is past-due, do you cut my internet but not my cable TV @Ask_Spectrum? Doesn't make any sense",@411619 Our apologies for any frustrations or inconvenience. Is there anything we may be able to assist with? ^AP .,unclear,deflection,"Generic offer to help, no fix or reasoning given",high
TMobileHelp,2285410,@TMobileHelp is it possible to switch a business account into a personal account,@664118 We'd love to get you all the facts on that process Arivinder! DM me :) *JustinPhillips,deflection,deflection,"DM me, no step",high
TMobileHelp,2818396,@115911 What if I don’t need an additional line what specials do you have then?,@785620 Hey Debbie! Are you looking to get a new device? Send us a DM and we can go over all your options. *TarynS,deflection,deflection,Diagnostic question + DM,high
SpotifyCares,1174187,The worst 'customer care' and service from @SpotifyCares !!!!!,@396173 We're sorry to hear you feel that way. We've just replied to your DM. Let's continue chatting there /JP,deflection,deflection,"Replied to DM, continue there",high
AppleSupport,2403593,@AppleSupport yes,"@691421 We have released another update, iOS 11.1.1. We recommend you update to that one and see if the issues continue. Find this at Settings &gt; General &gt; Software Update.",substantive,substantive,Names specific fix and path to apply it,high
AppleSupport,2072293,@115858 why release system update that doesn’t work? iPhone so unresponsive since updating to 11.0.2 #infuriating #AppleSupport,@612921 We are here to help you with the iPhone. DM us which model and details of what seems to be happening and we'll get started. https://t.co/GDrqU22YpT,deflection,deflection,"DM ask, no step",high
SpotifyCares,2077607,@SpotifyCares I'd like a refund,@614458 Hi Sarah! Send us your account's email address and username via DM. We'll take a look under the hood /SC https://t.co/ldFdZRiNAt,deflection,deflection,DM email/username requested,high
SpotifyCares,2245953,@115888 I️ need y’all to drop Taylor Swift’s album tho. I’m lowkey dying.,"@654586 Hey Jami! 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: https://t.co/3h0TnPWP0c /TR",substantive,substantive,"Direct answer: album not available, alternative given",high
TMobileHelp,1562091,Dear @115911 it's 2017. I should not have dead spots in the city of Chiacgo. You're coverage is not that good. #CanYouHearMeNow?,"@482520 Hey Steve, let's make sure you're able to stay connected. Send us a DM and we can assist. *ChanneyT",substantive,deflection,"Send DM, no step",high
AppleSupport,1261368,@AppleSupport They re-apperad a couple of hours later! I don't use iCloud but do you know why this happend? I only save my contacts on my phone,@415489 Were there any changes made to your device? Such as updates or removing accounts?,unclear,deflection,Diagnostic question about changes made,high
AmazonHelp,1713840,"Amazonからお支払いが来なくて不安😥
MV見たいよう(´இ□இ｀｡)°",@519018 お待たせしております。https://t.co/st4oU5QbhPが発送する商品の場合、お支払い番号は商品が出荷準備に入りしだい発行されます。詳しくは、こちらのヘルプページをご参照ください。https://t.co/MCsyqdVdSq YM,deflection,substantive,Explains payment-number timing inline,medium
AppleSupport,2372255,@AppleSupport many apps crashing on Ipad.,"@684430 We're happy to help! Have you checked the App Store for updates? Which version of iOS do you have installed on your iPad? Join us in DM, we can look into this further. https://t.co/GDrqU22YpT",deflection,deflection,Diagnostic question + DM,high
AmazonHelp,2881278,@AmazonHelp わざわざありがとうございますm(_ _)m,@799499 リプライいただきありがとうございます。どうぞよろしくお願いいたします🙇 HM,deflection,unclear,"Closing acknowledgement, no action",high
AppleSupport,960671,"@AppleSupport hi, does student discount apply when i want to buy a new phone?","@347974 Hi there. For this, we suggest reaching out to our Sales Support team here with your questions:  https://t.co/8yjRd1Xo0i",unclear,deflection,Channel switch to Sales Support link,high
SpotifyCares,93878,"@SpotifyCares Hi, please help. I have recently renewed my mobile contract and they have offered me 24 months Spotify premium to sweeten the deal. I'm already a premium subscriber so what's my best option going fwd. Cancel and start from scratch? Tia","@136359 Hi Scott, help's here! Can you DM us your account's email address? We'll take a look backstage /DV https://t.co/ldFdZRiNAt",deflection,deflection,DM account email requested,high
AmazonHelp,2836977,@115850 just deleted ur app...such a bad service..u people r making fool..why dont u shut urself if u dont want to do business.,"@512817 We see you had an issue with one of your orders recently, Avinash. Could you please confirm contacting our support team using the link provided in the previous correspondence? Let us know if you're facing any issue. ^RI",unclear,deflection,Diagnostic confirmation request,high
AmazonHelp,1937574,@AmazonHelp Ok. I have written once again by the link you have provided here. Please look into it and resolve it ASAP. Thanks!,@576391 We have received your details. We’ll work on it and get back to you with an update. ^SB,substantive,deflection,"Apology + vague promise, no action",high
SpotifyCares,2116862,@SpotifyCares alright thank you!,@623928 No worries. https://t.co/uEkAlnxbzn /GK,deflection,unclear,"Vague closing, likely already resolved",medium
Ask_Spectrum,1259853,"@115955 I need to cancel your service ....asap, you service Freeze's up to many times. Sorry 💔","@415183 How's everything working now? Please DM us if you still need any assistance, we'll be happy to help you. -CP",deflection,deflection,Diagnostic question + DM fallback,high
TMobileHelp,1976234,@115911 I don’t have service at home or in my school. I thought you had the best network... 😒,"@585229 No way! I know how important it is to have data all the time, Roberto. Shoot us a DM with more info to check this out. *ValerieP",substantive,deflection,"Shoot us DM, no step",high
